,POSTED_DATE,AMOUNT,time_idx
150,2016-09-29,6880.54199277305,9
151,2016-09-30,1929.1573214285713,9
152,2016-10-02,178568.87942883046,10
153,2016-10-03,20508.28640744433,10
154,2016-10-04,57133.150296236985,10
155,2016-10-05,122362.0552365416,10
156,2016-10-06,328131.63883158227,10
157,2016-10-09,406711.4219354839,10
158,2016-10-10,301345.96384236455,10
159,2016-10-11,467971.6773809524,10
160,2016-10-17,2026550.8896153844,10
161,2016-10-19,160440.92351851854,10
162,2016-10-23,908.86,10
163,2016-10-25,218972.75454545452,10
164,2016-10-26,5247.805417484389,10
165,2016-10-27,160590.18333333332,10
166,2016-10-30,17564.040769230767,10
167,2016-10-31,5012.038888805775,10
168,2016-11-01,239121.14818608624,11
169,2016-11-02,121718.48648273987,11
170,2016-11-03,181083.32394067798,11
171,2016-11-06,276344.28974763403,11
172,2016-11-07,451202.2590262582,11
173,2016-11-08,89024.02181975737,11
174,2016-11-09,376386.54346902657,11
175,2016-11-17,1279.8400000000001,11
176,2016-11-20,49989.345,11
177,2016-11-22,5651.046561440208,11
178,2016-11-27,111818.58988505747,11
179,2016-11-28,919.3335149774314,11
180,2016-11-29,1371.4541025641026,11
181,2016-11-30,78137.3728312534,11
182,2016-12-01,275323.8954350927,12
183,2016-12-04,3238.50558427762,12
184,2016-12-05,191942.57154411764,12
185,2016-12-06,202130.75267223382,12
186,2016-12-07,257448.0441526467,12
187,2016-12-08,492650.84579787235,12
188,2016-12-11,312236.48888211383,12
189,2016-12-12,22000000.0,12
190,2016-12-18,32187.61142857143,12
191,2016-12-19,728331.205,12
192,2016-12-20,8743.153284197631,12
193,2016-12-21,112294.45148148148,12
194,2016-12-26,16048.692857142858,12
195,2016-12-27,280373.6475,12
196,2016-12-28,115464.66666666667,12
197,2016-12-29,102473.55142857143,12
198,2016-12-30,12531.52682703857,12
199,2016-12-31,1178.9489733889905,12
200,2017-01-02,498639.7323093682,13
201,2017-01-03,15742.401554376658,13
202,2017-01-04,101600.68194630872,13
203,2017-01-05,528717.3415853658,13
204,2017-01-06,349843.88051413884,13
205,2017-01-08,232507.77425132744,13
206,2017-01-09,408434.4105,13
207,2017-01-11,637128.0060326087,13
